 78   Scan angles: step 60 (+-6)
   0   0   0
  60   0   0
 120   0   0
 180   0   0
 240   0   0
 300   0   0
  30  54   0
  90  54   0
 150  54   0
 210  54   0
 270  54   0
 330  54   0
   0 108   0
  60 108   0
 120 108   0
 180 108   0
 240 108   0
 300 108   0
  30 162   0
  90 162   0
 150 162   0
 210 162   0
 270 162   0
 330 162   0
  30   0  54
  90   0  54
 150   0  54
 210   0  54
 270   0  54
 330   0  54
  30 102  54
  90 102  54
 150 102  54
 210 102  54
 270 102  54
 330 102  54
  42  36 120
 102  36 120
 162  36 120
 222  36 120
 282  36 120
 342  36 120
   6 108 150
  66 108 150
 126 108 150
 186 108 150
 246 108 150
 306 108 150
  18  42 174
  78  42 174
 138  42 174
 198  42 174
 258  42 174
 318  42 174
  36  90 204
  96  90 204
 156  90 204
 216  90 204
 276  90 204
 336  90 204
  48  12 228
 108  12 228
 168  12 228
 228  12 228
 288  12 228
 348  12 228
  24 150 234
  84 150 234
 144 150 234
 204 150 234
 264 150 234
 324 150 234
   6  84 300
  66  84 300
 126  84 300
 186  84 300
 246  84 300
 306  84 300
